date,nb_deputes,nb_senateurs,nb_soutiens
2020-07-10T13:13:10.311014,60,9,279117
2020-07-10T13:36:56.830652,60,9,279328
2020-07-10T14:14:38.833141,60,9,279624
2020-07-10T14:36:47.387390,60,9,279787
2020-07-10T15:13:39.698345,60,9,280097
2020-07-10T15:36:57.491696,60,9,280253
2020-07-10T16:14:35.313220,61,9,280529
2020-07-10T16:36:51.123248,61,9,280702
2020-07-10T17:13:12.001841,61,9,281006
2020-07-10T17:36:54.150808,61,9,281176
2020-07-10T18:15:10.235937,61,9,281459
2020-07-10T18:37:06.306466,61,9,281607
2020-07-10T19:12:57.586470,61,9,281867
2020-07-10T19:37:08.752261,61,9,282027
2020-07-10T20:15:30.166852,61,9,282375
2020-07-10T20:36:54.373103,61,9,282566
2020-07-10T21:12:52.808804,61,9,282918
2020-07-10T21:36:57.137887,61,9,283114
2020-07-10T22:12:12.032115,61,9,283350
2020-07-10T22:37:08.442591,61,9,283467
2020-07-10T23:12:58.609617,61,9,283568
2020-07-10T23:37:03.519607,61,9,283627
2020-07-11T00:37:41.363562,61,9,283715
2020-07-11T01:14:53.016283,61,9,283756
2020-07-11T01:37:08.822090,61,9,283776
2020-07-11T02:14:45.089954,61,9,283800
2020-07-11T02:37:04.526750,62,9,283816
2020-07-11T03:13:23.980244,63,9,283844
2020-07-11T03:37:09.395488,63,9,283855
2020-07-11T04:14:36.575707,63,9,283884
2020-07-11T04:36:56.267076,63,9,283915
2020-07-11T05:12:46.595178,63,9,284014
2020-07-11T05:36:52.636253,63,9,284105
2020-07-11T06:37:21.630447,63,9,284530
2020-07-11T07:13:34.584668,63,9,284870
2020-07-11T07:37:13.018731,63,9,285107
2020-07-11T08:14:35.250510,63,9,285513
2020-07-11T08:37:05.298421,63,9,285872
2020-07-11T09:13:25.268228,63,9,286433
2020-07-11T09:37:01.139542,63,9,286725
2020-07-11T10:13:21.311560,63,9,287234
2020-07-11T10:36:58.551188,63,9,287546
2020-07-11T11:12:52.010990,63,9,287987
2020-07-11T11:36:53.959174,63,9,288254
2020-07-11T12:17:10.812773,63,9,288771
2020-07-11T12:36:53.081422,63,9,288994
2020-07-11T13:13:13.977755,63,9,289383
2020-07-11T13:37:23.051214,63,9,289590
2020-07-11T14:14:49.730811,63,9,289903
2020-07-11T14:37:13.829256,63,9,290070
2020-07-11T15:13:29.187766,63,9,290325
2020-07-11T15:37:05.527888,63,9,290489
2020-07-11T16:14:26.721332,63,9,290740
2020-07-11T16:37:02.684839,63,9,290859
2020-07-11T17:12:55.581216,63,9,291113
2020-07-11T17:36:57.590709,63,9,291270
2020-07-11T18:14:11.131650,63,9,291473
2020-07-11T18:36:52.686217,63,9,291622
2020-07-11T19:12:40.761154,63,9,291848
2020-07-11T19:37:23.070904,63,9,292004
2020-07-11T20:15:35.687052,63,9,292212
2020-07-11T20:37:17.815742,63,9,292339
2020-07-11T21:13:07.214644,63,9,292554
2020-07-11T21:37:05.955711,63,9,292659
2020-07-11T22:13:00.112936,63,9,292835
2020-07-11T22:37:05.264401,63,9,292932
2020-07-11T23:12:52.202595,63,9,293028
2020-07-11T23:37:02.791239,63,9,293074
2020-07-12T00:39:36.669291,63,9,293145
2020-07-12T01:14:55.204113,63,9,293175
2020-07-12T01:37:01.816750,63,9,293193
2020-07-12T02:14:54.358957,63,9,293209
2020-07-12T02:36:57.892883,63,9,293219
2020-07-12T03:13:48.948184,63,9,293236
2020-07-12T03:36:59.167065,63,9,293251
2020-07-12T04:14:15.491333,63,9,293275
2020-07-12T04:36:50.580436,63,9,293291
2020-07-12T05:13:10.721364,63,9,293335
2020-07-12T05:37:14.348470,63,9,293405
2020-07-12T06:15:02.486524,63,9,293507
2020-07-12T06:37:11.429349,63,9,293591
2020-07-12T07:13:54.733632,63,9,293791
2020-07-12T07:36:47.686668,63,9,293938
2020-07-12T08:14:45.576438,63,9,294154
2020-07-12T08:36:57.223919,63,9,294283
2020-07-12T09:13:13.609048,63,9,294540
2020-07-12T09:36:49.928123,63,9,294763
2020-07-12T10:13:38.308172,63,9,295000
2020-07-12T10:37:18.109993,63,9,295140
2020-07-12T11:12:59.885314,63,9,295337
2020-07-12T11:37:05.709347,63,9,295470
2020-07-12T12:17:31.707947,63,9,295647
2020-07-12T12:37:09.637438,63,9,295756
2020-07-12T13:12:56.309132,63,9,296000
2020-07-12T13:37:05.013620,63,9,296210
2020-07-12T14:14:17.305735,63,9,296526
2020-07-12T14:36:55.626326,63,9,296691
2020-07-12T15:13:10.796818,63,9,296950
2020-07-12T15:36:50.832791,63,9,297226
2020-07-12T16:14:13.135929,63,9,297597
2020-07-12T16:36:56.820943,63,9,297802
2020-07-12T17:13:05.919398,63,9,298090
2020-07-12T17:37:13.312432,63,9,298262
2020-07-12T18:14:28.429007,63,9,298514
2020-07-12T18:37:10.627008,63,9,298678
2020-07-12T19:12:53.430999,63,9,298918
2020-07-12T19:36:58.510989,63,9,299073
2020-07-12T20:15:16.103571,63,9,299329
2020-07-12T20:36:55.492107,63,9,299477
2020-07-12T21:13:11.306840,63,9,299753
2020-07-12T21:36:49.869332,63,9,299929
2020-07-12T22:13:08.547373,63,9,300146
2020-07-12T22:37:12.002373,63,9,300277
2020-07-12T23:13:03.694599,63,9,300387
2020-07-12T23:37:11.029315,63,9,300426
2020-07-13T00:39:14.923103,63,9,300505
2020-07-13T01:36:53.098219,63,9,300545
2020-07-13T02:15:15.630246,63,9,300566
2020-07-13T02:37:02.104267,63,9,300583
2020-07-13T03:14:05.884289,63,9,300599
2020-07-13T03:37:22.736998,63,9,300622
2020-07-13T04:14:58.636744,63,9,300649
2020-07-13T04:37:07.580128,63,9,300671
2020-07-13T05:22:34.024965,63,9,300780
2020-07-13T06:37:55.687902,63,9,301129
2020-07-13T08:16:08.815644,63,9,302101
2020-07-13T08:36:53.164500,63,9,302323
2020-07-13T09:13:56.860686,63,9,302682
2020-07-13T09:36:55.281927,63,9,302885
2020-07-13T10:13:50.129097,63,9,303228
2020-07-13T10:36:56.969084,63,9,303454
2020-07-13T11:13:12.615742,63,9,303742
2020-07-13T11:36:48.113590,63,9,303921
2020-07-13T12:17:52.334063,63,9,304261
2020-07-13T12:36:49.590065,63,9,304401
2020-07-13T13:13:37.237492,63,9,304611
2020-07-13T13:36:46.263378,63,9,304731
2020-07-13T14:14:44.890351,63,9,304944
2020-07-13T14:36:50.249504,63,9,305046
2020-07-13T15:13:45.427178,63,9,305251
2020-07-13T15:36:49.418837,63,9,305369
2020-07-13T16:14:44.483346,65,9,305567
2020-07-13T16:36:49.613125,65,9,305670
2020-07-13T17:13:38.775675,65,9,305862
2020-07-13T17:36:56.864685,65,9,306002
2020-07-13T18:14:57.862624,65,9,306176
2020-07-13T18:36:53.045383,65,9,306289
2020-07-13T19:13:06.832619,65,9,306449
2020-07-13T19:37:15.976599,65,9,306586
2020-07-13T20:15:46.774683,65,9,307161
2020-07-13T20:37:06.338129,65,9,307434
2020-07-13T21:13:23.484717,65,9,307789
2020-07-13T21:37:04.085543,65,9,307968
2020-07-13T22:13:19.182931,65,9,308185
2020-07-13T22:37:01.440303,65,9,308283
2020-07-13T23:12:54.396068,65,9,308383
2020-07-13T23:36:57.061096,65,9,308431
2020-07-14T00:38:09.394911,65,9,308500
2020-07-14T01:15:23.625875,65,9,308525
2020-07-14T01:37:05.956076,65,9,308541
2020-07-14T02:15:23.021439,65,9,308560
2020-07-14T02:37:03.016313,65,9,308576
2020-07-14T03:13:50.881350,65,9,308604
2020-07-14T03:36:58.134328,65,9,308621
2020-07-14T04:14:20.747213,65,9,308652
2020-07-14T04:36:54.991909,65,9,308695
2020-07-14T05:13:16.779563,65,9,308770
2020-07-14T05:36:54.668347,65,9,308833
2020-07-14T06:15:14.608941,65,9,308989
2020-07-14T06:36:50.609437,65,9,309087
2020-07-14T07:13:40.784158,65,9,309314
2020-07-14T07:37:20.973051,65,9,309482
2020-07-14T08:15:09.054609,65,9,309687
2020-07-14T08:36:57.193355,65,9,309803
2020-07-14T09:14:06.909100,65,9,310021
2020-07-14T09:37:06.791935,65,9,310133
2020-07-14T10:14:11.418053,65,9,310313
2020-07-14T10:36:59.095767,65,9,310402
2020-07-14T11:13:15.559613,65,9,310537
2020-07-14T11:36:59.792314,65,9,310640
2020-07-14T12:17:51.374055,65,9,310826
2020-07-14T12:36:57.790766,65,9,310915
2020-07-14T13:13:19.416855,65,9,311076
2020-07-14T13:36:59.243787,65,9,311169
2020-07-14T14:38:46.903410,65,9,311362
2020-07-14T15:13:50.863137,65,9,311475
2020-07-14T15:36:53.571861,65,9,311560
2020-07-14T16:14:27.753418,65,9,311695
2020-07-14T16:37:00.153225,65,9,311760
2020-07-14T17:13:20.704624,65,9,311889
2020-07-14T17:36:57.981435,65,9,312154
2020-07-14T18:14:48.663864,65,9,312500
2020-07-14T18:36:53.279943,65,9,312668
2020-07-14T19:12:49.188713,65,9,312981
2020-07-14T19:36:50.263964,65,9,313151
2020-07-14T20:16:53.371575,65,9,313411
2020-07-14T20:36:53.235363,65,9,313533
2020-07-14T21:11:51.411298,65,9,313769
2020-07-14T21:36:52.689832,65,9,313896
2020-07-14T22:13:15.364563,65,9,314055
2020-07-14T22:37:19.035271,65,9,314115
2020-07-14T23:13:20.073995,65,9,314173
2020-07-14T23:36:59.443233,65,9,314198
2020-07-15T00:38:55.168569,65,9,314248
2020-07-15T01:15:17.215495,65,9,314265
2020-07-15T01:36:55.998466,65,9,314272
2020-07-15T02:15:19.320503,65,9,314279
2020-07-15T02:36:54.743115,65,9,314287
2020-07-15T03:13:45.782834,65,9,314299
2020-07-15T03:36:54.150063,65,9,314306
2020-07-15T04:14:45.755655,65,9,314328
2020-07-15T04:36:50.489875,65,9,314348
2020-07-15T05:13:09.435037,65,9,314396
2020-07-15T05:37:18.230355,65,9,314443
2020-07-15T06:15:39.939197,65,9,314562
2020-07-15T06:36:53.073375,65,9,314634
2020-07-15T07:14:07.541274,65,9,314750
2020-07-15T07:36:55.943605,65,9,314843
2020-07-15T08:15:10.020071,65,9,314998
2020-07-15T08:36:51.408460,65,9,315085
2020-07-15T09:14:04.715866,65,9,315214
